Comment,Designator,Footprint,LCSC
Conn_01x09,J1,PinHeader_1x09_P2.54mm_Vertical,
ESP32-C3-WROOM-02,U1,ESP32-C3-WROOM-02,
Conn_01x09,J2,PinHeader_1x09_P2.54mm_Vertical,
